,Estimation
PAM50Call_RNAseq_causes_LOC100271831,0
LOC100271831_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_HOXC11,0
HOXC11_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_GABRB3,1
GABRB3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GJB1,1
GJB1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ONECUT2,1
ONECUT2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PRODH,1
PRODH_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_RBM24,1
RBM24_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C1orf173,1
C1orf173_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KRT6C,1
KRT6C_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KRT23,1
KRT23_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C19orf33,1
C19orf33_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GRIK3,1
GRIK3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C3orf57,1
C3orf57_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FOXA1,1
FOXA1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TRPV6,1
TRPV6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SAA2,1
SAA2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_THRSP,1
THRSP_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KRT4,1
KRT4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FUT3,1
FUT3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_UGT2B15,1
UGT2B15_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TMPRSS3,1
TMPRSS3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ARHGAP36,1
ARHGAP36_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DARC,1
DARC_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_IGJ,0
IGJ_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_SHISA9,1
SHISA9_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_VSIG2,1
VSIG2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PPP1R14C,1
PPP1R14C_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SAA1,1
SAA1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_POF1B,1
POF1B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TPSG1,1
TPSG1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_VIPR2,1
VIPR2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PRSS21,1
PRSS21_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TFPI2,0
TFPI2_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_HBA1,1
HBA1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TDRD1,1
TDRD1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PLIN4,1
PLIN4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC26A3,1
SLC26A3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TTYH1,1
TTYH1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AREG,1
AREG_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC28A3,1
SLC28A3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PLCH1,1
PLCH1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MMP13,0
MMP13_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_AR,1
AR_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DKK1,1
DKK1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CCNO,1
CCNO_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DLX2,1
DLX2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SYNPO2L,1
SYNPO2L_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CXADRP3,1
CXADRP3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AFF3,1
AFF3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_S100A2,1
S100A2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ATP13A4,1
ATP13A4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AKR1B10,1
AKR1B10_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SPAG17,1
SPAG17_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SBSN,1
SBSN_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NTNG1,1
NTNG1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PI15,1
PI15_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PCDHA11,1
PCDHA11_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HSD17B2,1
HSD17B2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FAM83E,1
FAM83E_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ZNF385B,1
ZNF385B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ANKRD43,1
ANKRD43_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_F7,1
F7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NPY5R,1
NPY5R_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DCX,1
DCX_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MAPK4,1
MAPK4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MYT1,1
MYT1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NELL2,1
NELL2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SOX2,0
SOX2_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_PCDHA12,0
PCDHA12_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_FGG,0
FGG_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_IYD,1
IYD_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CACNG4,1
CACNG4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DCDC2,1
DCDC2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_EPYC,0
EPYC_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_FAM83A,1
FAM83A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ADCY5,1
ADCY5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CHI3L2,1
CHI3L2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PHGR1,1
PHGR1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TSIX,1
TSIX_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PCDH10,0
PCDH10_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_WT1,0
WT1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KCNG1,1
KCNG1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PP14571,1
PP14571_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SHISA2,1
SHISA2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HPX,1
HPX_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_EDN3,1
EDN3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_COL11A1,0
COL11A1_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_RIMS2,1
RIMS2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CD177,1
CD177_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_PCK1,1
PCK1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TLX1,1
TLX1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GLYATL1,1
GLYATL1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MMP7,1
MMP7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CYP4F11,1
CYP4F11_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TTC36,1
TTC36_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SEZ6L,1
SEZ6L_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_S100A1,1
S100A1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CHGA,0
CHGA_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_LOC642587,1
LOC642587_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PART1,1
PART1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NEURL,1
NEURL_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CNTFR,1
CNTFR_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_GABBR2,1
GABBR2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CRYM,1
CRYM_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_RET,1
RET_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PPP1R1A,1
PPP1R1A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC15A1,1
SLC15A1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PLA2G2D,0
PLA2G2D_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_SCRG1,1
SCRG1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LGR6,1
LGR6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TOX3,1
TOX3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HOXC10,1
HOXC10_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ZFP57,1
ZFP57_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SMOC1,1
SMOC1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TUBA3E,1
TUBA3E_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC6A11,1
SLC6A11_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_RHCG,1
RHCG_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_UGT2B28,1
UGT2B28_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HRASLS5,1
HRASLS5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CXCL14,1
CXCL14_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MKRN3,1
MKRN3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_KCNF1,1
KCNF1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MKX,1
MKX_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TSPAN1,1
TSPAN1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CHRDL1,1
CHRDL1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_BCL11A,1
BCL11A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PLA2G3,0
PLA2G3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MS4A8B,1
MS4A8B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC6A15,1
SLC6A15_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FBN3,1
FBN3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NKX2-2,0
NKX2-2_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_FUT6,1
FUT6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MAGEA1,1
MAGEA1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MAPT,1
MAPT_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CTNND2,1
CTNND2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_UGT8,1
UGT8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DOK7,1
DOK7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CPLX2,1
CPLX2_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_HP,1
HP_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FGFBP1,1
FGFBP1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AKR1C2,1
AKR1C2_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_OGN,1
OGN_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CECR2,1
CECR2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_RASAL1,1
RASAL1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_APOD,1
APOD_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DEFB1,1
DEFB1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DACH1,1
DACH1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ABCC12,1
ABCC12_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TMEM40,1
TMEM40_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PCSK1,0
PCSK1_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_LOC389033,1
LOC389033_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ABCA8,1
ABCA8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SCARA5,1
SCARA5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SCNN1G,0
SCNN1G_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LY6K,1
LY6K_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FAT2,1
FAT2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CPA6,1
CPA6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MMP10,0
MMP10_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CLGN,1
CLGN_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C2orf40,1
C2orf40_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NOVA1,1
NOVA1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CCL18,1
CCL18_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FGF10,1
FGF10_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SCGN,1
SCGN_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_PIK3C2G,1
PIK3C2G_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_RBP4,1
RBP4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CD79A,1
CD79A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GRM4,1
GRM4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ADAMTS15,1
ADAMTS15_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TPSD1,1
TPSD1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C1orf106,1
C1orf106_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_?|652919,0
?|652919_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_TNFSF12-TNFSF13,1
TNFSF12-TNFSF13_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AQP7,1
AQP7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PAH,1
PAH_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FLT3,1
FLT3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GPRIN2,1
GPRIN2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GJB3,1
GJB3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ADAMTS19,1
ADAMTS19_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_IRX4,1
IRX4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CLSTN2,1
CLSTN2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_B3GNT3,1
B3GNT3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PLIN5,1
PLIN5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FCRL5,1
FCRL5_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NMU,1
NMU_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SHC4,1
SHC4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GATA4,1
GATA4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PSAT1,1
PSAT1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLC1A1,1
SLC1A1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TMEM132C,1
TMEM132C_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DLGAP1,1
DLGAP1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_EMX1,1
EMX1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PCOLCE2,1
PCOLCE2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ADAM6,1
ADAM6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MAOB,1
MAOB_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_COL9A3,1
COL9A3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_IRX1,1
IRX1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AFP,1
AFP_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LOC339535,1
LOC339535_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PDZK1IP1,1
PDZK1IP1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LOC84740,1
LOC84740_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LOC440905,1
LOC440905_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CDH1,1
CDH1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ERBB2,1
ERBB2_causes_PAM50Call_RNAseq,1
